loss,acc,comms,bits
2.301221666717529,11.69,1000,1197572080
2.2276697708129882,17.12,1000,1197572080
2.0749269638061523,22.18,1000,1197572080
2.058910591125488,20.47,1000,1197572080
1.9632941276550293,23.43,1000,1197572080
1.911684063720703,26.35,1000,1197572080
1.8801833503723144,25.18,1000,1197572080
1.836406280517578,26.49,1000,1197572080
1.7224395141601563,33.84,1000,1197572080
1.7619039916992187,32.91,1000,1197572080
1.7091532890319825,34.84,1000,1197572080
1.7230661880493163,36.08,1000,1197572080
1.6738606300354004,36.3,1000,1197572080
1.6234952728271483,39.96,1000,1197572080
1.6172442123413087,39.79,1000,1197572080
1.5791868698120117,40.47,1000,1197572080
1.528834619140625,43.05,1000,1197572080
1.5169491043090821,44.23,1000,1197572080
1.528697036743164,43.37,1000,1197572080
1.4546034320831298,46.58,1000,1197572080
1.489430131149292,45.98,1000,1197572080
1.45447887840271,47.17,1000,1197572080
1.4280798931121825,48.03,1000,1197572080
1.4037474380493165,49.93,1000,1197572080
1.4496572147369384,46.98,1000,1197572080
1.3722532077789307,49.81,1000,1197572080
1.3497022850036622,51.62,1000,1197572080
1.3528370491027832,52.25,1000,1197572080
1.341745124053955,52.07,1000,1197572080
1.3299583484649657,52.88,1000,1197572080
1.3441083789825439,51.47,1000,1197572080
1.2675303894042969,54.63,1000,1197572080
1.2550620738983154,55.38,1000,1197572080
1.2411324256896972,55.67,1000,1197572080
1.206897596359253,56.54,1000,1197572080
1.2193324268341064,56.56,1000,1197572080
1.2447509963989258,56.04,1000,1197572080
1.1984585243225097,57.18,1000,1197572080
1.2031936069488525,57.13,1000,1197572080
1.2150288368225097,57.51,1000,1197572080
1.1645519550323487,58.3,1000,1197572080
1.1688168540954589,58.61,1000,1197572080
1.1647844631195068,58.55,1000,1197572080
1.1429234706878661,59.64,1000,1197572080
1.1493419792175292,59.1,1000,1197572080
1.1328962188720704,59.48,1000,1197572080
1.1084660774230957,60.78,1000,1197572080
1.147295796585083,60.19,1000,1197572080
1.1115828063964843,60.81,1000,1197572080
1.1189787612915039,60.82,1000,1197572080
1.0703119918823243,62.12,1000,1197572080
1.0863334045410156,61.44,1000,1197572080
1.077628723526001,62.11,1000,1197572080
1.1313555030822753,60.57,1000,1197572080
1.064858180999756,62.89,1000,1197572080
1.0815266523361207,63.06,1000,1197572080
1.070049554824829,62.89,1000,1197572080
1.085240496826172,62.77,1000,1197572080
1.0656853532791137,62.78,1000,1197572080
1.092020252227783,62.62,1000,1197572080
1.0633103101730346,63.37,1000,1197572080
1.0484257907867431,63.35,1000,1197572080
1.0648991134643555,63.26,1000,1197572080
1.1026019771575928,60.99,1000,1197572080
1.0395244510650634,63.43,1000,1197572080
1.0566142009735107,63.47,1000,1197572080
1.0520128656387329,63.34,1000,1197572080
1.0031869848251342,65.21,1000,1197572080
1.0224742330551146,64.16,1000,1197572080
1.0103729579925538,64.5,1000,1197572080
1.0376098007202148,64.29,1000,1197572080
1.007757935333252,64.64,1000,1197572080
1.0490201267242432,64.21,1000,1197572080
0.9848441679000854,65.18,1000,1197572080
1.0221151365280152,65.17,1000,1197572080
0.9897257776260376,65.94,1000,1197572080
1.0022626871109008,64.92,1000,1197572080
1.006140480041504,64.72,1000,1197572080
0.9733379301071167,66.33,1000,1197572080
1.0080545534133911,64.92,1000,1197572080
0.994011046218872,65.44,1000,1197572080
0.9668522924423217,65.78,1000,1197572080
0.9648185688018799,67.16,1000,1197572080
0.9964869375228882,65.21,1000,1197572080
0.9898995306015015,65.51,1000,1197572080
0.9651647537231446,66.37,1000,1197572080
0.9700983098983764,66.56,1000,1197572080
0.9730788362503052,65.97,1000,1197572080
0.9624933094024658,66.48,1000,1197572080
0.9774965738296508,65.76,1000,1197572080
0.9708413129806519,66.16,1000,1197572080
0.9507356101989746,66.97,1000,1197572080
0.9556791358947754,66.8,1000,1197572080
0.9597686676025391,67.12,1000,1197572080
0.9545945524215699,67.55,1000,1197572080
0.949158567237854,67.63,1000,1197572080
0.9601204706192017,66.63,1000,1197572080
0.9431982009887695,67.43,1000,1197572080
0.935651411819458,67.39,1000,1197572080
0.9418350257873536,66.89,1000,1197572080
0.9446515981674194,67.28,1000,1197572080
0.9220175241470336,68.38,1000,1197572080
0.9136099161148071,68.35,1000,1197572080
0.9336143770217895,67.71,1000,1197572080
0.9326954320907592,67.43,1000,1197572080
0.9051216238021851,69.02,1000,1197572080
0.9399935684204102,67.47,1000,1197572080
0.9379059009552002,68.28,1000,1197572080
0.9320970779418946,68.51,1000,1197572080
0.9125385215759277,68.73,1000,1197572080
0.9188969123840331,68.3,1000,1197572080
0.92481090965271,68.81,1000,1197572080
0.937790249824524,67.73,1000,1197572080
0.8966292781829834,69.02,1000,1197572080
0.9243158422470092,67.63,1000,1197572080
0.9324597688674927,68.18,1000,1197572080
0.9108484617233277,68.32,1000,1197572080
0.9267647737503052,68.74,1000,1197572080
0.904466651725769,68.5,1000,1197572080
0.8871522823333741,69.61,1000,1197572080
0.8842377201080323,69.43,1000,1197572080
0.9203611127853394,68.27,1000,1197572080
0.8749120538711548,69.84,1000,1197572080
0.8888947746276855,69.93,1000,1197572080
0.9132721490859985,68.84,1000,1197572080
0.9083616325378417,68.46,1000,1197572080
0.8992365709304809,68.92,1000,1197572080
0.8949702684402466,69.42,1000,1197572080
0.8816300689697265,69.78,1000,1197572080
0.8961014429092408,69.24,1000,1197572080
0.8852823509216309,69.66,1000,1197572080
0.8730559251785278,70.25,1000,1197572080
0.8847212469100952,69.9,1000,1197572080
0.8770266983032227,69.86,1000,1197572080
0.8728725545883179,70.0,1000,1197572080
0.8501958282470703,71.7,1000,1197572080
0.8671677421569824,70.38,1000,1197572080
0.8547144689559937,70.82,1000,1197572080
0.869284298324585,69.68,1000,1197572080
0.8696148866653443,70.28,1000,1197572080
0.8591759243011474,70.32,1000,1197572080
0.8454563068389893,71.34,1000,1197572080
0.8659472282409668,70.7,1000,1197572080
0.8647755596160889,70.85,1000,1197572080
0.8514781829833984,70.65,1000,1197572080
0.8831539539337159,69.82,1000,1197572080
0.8656653686523438,70.57,1000,1197572080
0.8621711904525757,70.21,1000,1197572080
0.859890654182434,70.69,1000,1197572080
0.846873217010498,70.91,1000,1197572080
0.8572810604095459,70.52,1000,1197572080
0.8623850072860718,70.85,1000,1197572080
0.8641569585800171,71.64,1000,1197572080
0.8669386133193969,70.79,1000,1197572080
0.8356940196990967,71.5,1000,1197572080
0.8356818857192994,71.3,1000,1197572080
0.8481899417877198,70.79,1000,1197572080
0.8432111755371093,71.2,1000,1197572080
0.8240056943893432,71.85,1000,1197572080
0.8577945926666259,70.5,1000,1197572080
0.8469852298736572,71.36,1000,1197572080
0.8943178049087525,69.92,1000,1197572080
0.8556915885925293,70.95,1000,1197572080
0.8469011554718018,71.3,1000,1197572080
0.8303493343353271,71.73,1000,1197572080
0.8339513071060181,71.55,1000,1197572080
0.8519602476119995,70.66,1000,1197572080
0.8214142698287964,71.69,1000,1197572080
0.8299639938354492,71.88,1000,1197572080
0.8308182817459107,71.79,1000,1197572080
0.830033004951477,71.69,1000,1197572080
0.8498592010498047,70.96,1000,1197572080
0.8301585912704468,72.08,1000,1197572080
0.8187989551544189,72.5,1000,1197572080
0.8503196424484253,70.92,1000,1197572080
0.8393566415786743,71.54,1000,1197572080
0.8581614665985108,71.44,1000,1197572080
0.8522197460174561,71.02,1000,1197572080
0.8367856302261353,71.35,1000,1197572080
0.8019665760040283,72.74,1000,1197572080
0.8297433628082276,72.04,1000,1197572080
0.8323359409332275,71.96,1000,1197572080
0.855661336517334,71.4,1000,1197572080
0.8358832437515259,71.45,1000,1197572080
0.815791188621521,72.41,1000,1197572080
0.8024191539764405,72.66,1000,1197572080
0.8287592483520507,71.94,1000,1197572080
0.8244017541885376,72.23,1000,1197572080
0.8334663084030152,71.94,1000,1197572080
0.8349524160385132,71.62,1000,1197572080
0.8555920978546142,71.97,1000,1197572080
0.815277412033081,72.6,1000,1197572080
0.8359431503295899,72.62,1000,1197572080
0.8004252466201782,72.91,1000,1197572080
0.8200331577301025,72.17,1000,1197572080
0.8144328702926635,72.15,1000,1197572080
0.8186564653396606,72.35,1000,1197572080
0.8114122577667237,72.67,1000,1197572080
0.7982551721572876,72.51,1000,1197572080
0.8095036725997925,72.44,1000,1197572080
0.8484731948852539,72.17,1000,1197572080
0.8320720088958741,72.45,1000,1197572080
0.8144870628356934,73.01,1000,1197572080
0.7972726793289184,73.18,1000,1197572080
0.8053344244003295,72.76,1000,1197572080
0.8283141841888427,72.38,1000,1197572080
0.8175085609436035,72.15,1000,1197572080
0.8102713485717773,72.67,1000,1197572080
0.8354888948440552,72.07,1000,1197572080
0.8137653600692749,72.52,1000,1197572080
0.8170734697341919,72.38,1000,1197572080
0.8002035469055175,73.26,1000,1197572080
0.8148839099884033,72.81,1000,1197572080
0.8021077869415283,72.92,1000,1197572080
0.8159127964019776,72.39,1000,1197572080
0.8159907825469971,73.38,1000,1197572080
0.803470128440857,72.92,1000,1197572080
0.8220228675842285,72.59,1000,1197572080
0.8055869504928589,72.94,1000,1197572080
0.8183030435562134,72.65,1000,1197572080
0.81166081905365,72.75,1000,1197572080
0.799458203125,73.12,1000,1197572080
0.8064075340270996,72.74,1000,1197572080
0.7954195070266724,73.41,1000,1197572080
0.7929072401046753,73.09,1000,1197572080
