loss,acc,comms,bits
1.5958846920013428,40.12,1000,2168571280
1.4198451992034913,48.19,1000,2168571280
1.2177471298217772,56.92,1000,2168571280
1.068481820678711,62.24,1000,2168571280
1.0149455150604247,64.28,1000,2168571280
1.0194338092803954,64.76,1000,2168571280
0.9158559446334839,68.14,1000,2168571280
0.89723335647583,69.1,1000,2168571280
0.8190187417984008,72.18,1000,2168571280
0.770144278717041,73.59,1000,2168571280
0.7576068698883056,74.33,1000,2168571280
0.7009615135192871,76.3,1000,2168571280
0.6959266150474548,76.51,1000,2168571280
0.6673443541526795,77.91,1000,2168571280
0.6519509884834289,78.3,1000,2168571280
0.6447020904541015,78.52,1000,2168571280
0.6253842476844788,79.19,1000,2168571280
0.638155619430542,78.79,1000,2168571280
0.6254604644775391,79.12,1000,2168571280
0.6138621667861939,79.63,1000,2168571280
0.5991251682281494,80.19,1000,2168571280
0.5962438515663147,80.31,1000,2168571280
0.5891051794052125,80.63,1000,2168571280
0.5928844930648803,80.29,1000,2168571280
0.5819458948135376,80.49,1000,2168571280
0.5776080171585083,80.99,1000,2168571280
0.5957332631587983,80.99,1000,2168571280
0.5837020556926727,80.79,1000,2168571280
0.5925862883090973,80.85,1000,2168571280
0.5806643205165863,81.38,1000,2168571280
0.5672167386054993,81.42,1000,2168571280
0.5659243548870087,81.26,1000,2168571280
0.5456427997589112,82.37,1000,2168571280
0.5690546536922455,81.6,1000,2168571280
0.536846503162384,82.62,1000,2168571280
0.5495014537334442,82.47,1000,2168571280
0.5768324982643127,82.06,1000,2168571280
0.5618439218044281,82.16,1000,2168571280
0.5708715795993805,82.06,1000,2168571280
0.5860508274555206,81.81,1000,2168571280
0.5798076523303985,81.82,1000,2168571280
0.5733061027050018,82.15,1000,2168571280
0.5719023605823517,81.74,1000,2168571280
0.5695424716949463,82.68,1000,2168571280
0.6074402062892914,81.45,1000,2168571280
0.5678793787956238,82.61,1000,2168571280
0.6062591470718384,81.63,1000,2168571280
0.5609878030776978,82.86,1000,2168571280
0.6004593969345092,82.33,1000,2168571280
0.5927988847255706,82.19,1000,2168571280
0.5983614751338959,82.29,1000,2168571280
0.5649228392601013,83.23,1000,2168571280
0.5942829959392547,81.92,1000,2168571280
0.5930166358947754,82.56,1000,2168571280
0.5804480872154236,82.86,1000,2168571280
0.5743072312831878,82.92,1000,2168571280
0.5739677891254426,82.72,1000,2168571280
0.5774525971412658,82.76,1000,2168571280
0.5971905624866486,82.53,1000,2168571280
0.5831134645462036,82.73,1000,2168571280
0.5625433204889297,83.56,1000,2168571280
0.5668688231468201,83.27,1000,2168571280
0.6075935725212097,82.57,1000,2168571280
0.5881128401756287,82.85,1000,2168571280
0.5869256223201752,83.15,1000,2168571280
0.5852553598880768,83.2,1000,2168571280
0.5862711168289184,83.44,1000,2168571280
0.6091228136539459,82.77,1000,2168571280
0.6040090840816498,82.84,1000,2168571280
0.5562785998821258,84.22,1000,2168571280
0.5773815276145935,83.32,1000,2168571280
0.6021200707435608,83.28,1000,2168571280
0.579494778251648,83.4,1000,2168571280
0.6039514996051788,83.28,1000,2168571280
0.5991120590209961,83.26,1000,2168571280
0.6252368577957154,82.64,1000,2168571280
0.6313278363227844,83.09,1000,2168571280
0.6058086025714874,83.61,1000,2168571280
0.6159658105373382,83.19,1000,2168571280
0.614819126033783,83.28,1000,2168571280
0.5912006043434143,84.03,1000,2168571280
0.6256533954620361,83.28,1000,2168571280
0.6163187799453735,83.52,1000,2168571280
0.5921651968479157,83.8,1000,2168571280
0.6546614401340485,82.59,1000,2168571280
0.6211401779174804,83.64,1000,2168571280
0.6389341142892837,83.34,1000,2168571280
0.6646017647266388,82.76,1000,2168571280
0.6024631274223328,83.91,1000,2168571280
0.6276112746238709,83.54,1000,2168571280
0.6471664838314056,83.56,1000,2168571280
0.633814672613144,83.42,1000,2168571280
0.6449131836414337,83.56,1000,2168571280
0.6625540769100189,83.22,1000,2168571280
0.6356831214904786,83.87,1000,2168571280
0.6534252292633057,83.29,1000,2168571280
0.6685741829395294,83.22,1000,2168571280
0.6440923622131348,83.69,1000,2168571280
0.6704513698577881,83.79,1000,2168571280
0.6558901397228241,83.68,1000,2168571280
0.6561258684158325,83.21,1000,2168571280
0.6675020438671112,83.43,1000,2168571280
0.6521606719970703,83.88,1000,2168571280
0.6674920043468475,83.87,1000,2168571280
0.6687364597320556,83.65,1000,2168571280
0.694835756111145,83.23,1000,2168571280
0.685157754945755,83.03,1000,2168571280
0.6813522042751312,83.77,1000,2168571280
0.6765542946338654,83.65,1000,2168571280
0.7233025137901307,83.0,1000,2168571280
0.712720205783844,83.55,1000,2168571280
0.7246653765678406,83.43,1000,2168571280
0.7471316250801087,82.72,1000,2168571280
0.7238612537384033,83.62,1000,2168571280
0.742040416765213,83.07,1000,2168571280
0.7276970848083496,83.66,1000,2168571280
0.732984690618515,83.37,1000,2168571280
0.7276821410179138,83.63,1000,2168571280
0.736977876663208,83.56,1000,2168571280
0.7444234431743622,83.44,1000,2168571280
0.7415770181179047,83.36,1000,2168571280
0.7740529087543487,83.07,1000,2168571280
0.7449238851547241,83.61,1000,2168571280
0.7522185523986816,83.25,1000,2168571280
0.769612169599533,83.0,1000,2168571280
0.7581869606971741,83.46,1000,2168571280
0.7694629214763641,83.28,1000,2168571280
0.785081963634491,82.98,1000,2168571280
0.7775839781761169,83.31,1000,2168571280
0.785158245754242,83.11,1000,2168571280
0.7609374329566956,83.91,1000,2168571280
0.7555606745243072,83.85,1000,2168571280
0.7862358752250671,82.88,1000,2168571280
0.7490887984275818,83.76,1000,2168571280
0.7565854051113129,83.95,1000,2168571280
0.7868000668048859,83.73,1000,2168571280
0.7902002775192261,83.44,1000,2168571280
0.7700541128158569,83.84,1000,2168571280
0.7969358439445495,83.22,1000,2168571280
0.7708823166847228,83.48,1000,2168571280
0.7962537846565246,83.42,1000,2168571280
0.8145745548725128,82.95,1000,2168571280
0.819923897409439,82.89,1000,2168571280
0.7757597246170044,83.84,1000,2168571280
0.8170983260154724,83.59,1000,2168571280
0.7810010672569275,84.03,1000,2168571280
0.7901038964271545,83.93,1000,2168571280
0.7991063474178314,83.59,1000,2168571280
0.8140975546836853,83.61,1000,2168571280
0.8186039321899414,83.6,1000,2168571280
0.825146898317337,83.33,1000,2168571280
0.8184426307678223,83.6,1000,2168571280
0.8368483309268951,83.2,1000,2168571280
0.8501752871990204,83.47,1000,2168571280
0.8271908207893371,83.67,1000,2168571280
0.8260450856208801,83.37,1000,2168571280
0.8313020322322845,83.24,1000,2168571280
0.8510799641609192,82.87,1000,2168571280
0.8105749199390412,83.78,1000,2168571280
0.8250160631179809,83.55,1000,2168571280
0.8136634911537171,83.65,1000,2168571280
0.8339783856391907,83.57,1000,2168571280
0.8451198353290558,83.75,1000,2168571280
0.8484056708335876,83.86,1000,2168571280
0.8201256071567535,84.15,1000,2168571280
0.8235348692893982,83.96,1000,2168571280
0.8374771088123322,83.61,1000,2168571280
0.8244716827392579,83.79,1000,2168571280
0.8311478427410126,84.03,1000,2168571280
0.8282117101669312,84.4,1000,2168571280
0.8294739456653595,83.85,1000,2168571280
0.8390074014186859,83.8,1000,2168571280
0.859267142534256,83.4,999,2167492392
0.8570906394481659,83.47,999,2167492392
0.8299511695861816,84.06,1000,2168571280
0.8441926244735718,83.83,1000,2168571280
0.8768462711334228,83.07,1000,2168571280
0.8742335422039031,83.53,1000,2168571280
0.8797942128181457,83.48,1000,2168571280
0.8756616360664368,83.77,1000,2168571280
0.8816746506690979,83.45,1000,2168571280
0.8510280154705048,83.65,1000,2168571280
0.8563416888237,83.14,1000,2168571280
0.8773251579284668,83.6,1000,2168571280
0.8649739000797272,83.78,1000,2168571280
0.8566312006950378,84.0,1000,2168571280
0.8754385757923127,83.77,1000,2168571280
0.8919272108078002,83.16,1000,2168571280
0.8565628222465516,83.65,1000,2168571280
0.8899176095962524,83.08,1000,2168571280
0.8805697443962097,83.45,1000,2168571280
0.8709148338317871,83.65,1000,2168571280
0.8813597811222076,83.45,1000,2168571280
0.8487338241100312,83.97,1000,2168571280
0.8571326044559479,83.73,1000,2168571280
0.8798521716117859,83.52,1000,2168571280
0.8881834416389466,83.43,1000,2168571280
0.8690172481536865,83.66,1000,2168571280
0.854680686712265,83.79,1000,2168571280
0.8806220138549805,83.83,1000,2168571280
0.8514993618488311,84.11,1000,2168571280
0.8714642168521881,83.96,1000,2168571280
0.8621306361675263,84.12,1000,2168571280
0.8664092180252075,83.91,1000,2168571280
0.8788842628479004,84.19,1000,2168571280
0.8723192102432251,84.02,1000,2168571280
0.8633408024787903,84.07,1000,2168571280
0.8774619615077972,83.8,1000,2168571280
0.8869619270324707,84.23,1000,2168571280
0.8820643099427223,84.22,1000,2168571280
0.90111897482872,83.97,1000,2168571280
0.9064468043327332,83.38,1000,2168571280
0.8908025516033172,83.87,1000,2168571280
0.8932700298786164,83.94,1000,2168571280
0.902692609167099,83.98,1000,2168571280
0.9049269346237183,84.03,1000,2168571280
0.8889710223674774,84.45,1000,2168571280
0.8971774814128876,84.47,1000,2168571280
0.8907923233747482,84.29,1000,2168571280
0.9099760035037995,84.05,1000,2168571280
0.9107799881458283,83.97,1000,2168571280
0.9085962619781495,84.17,1000,2168571280
0.9152328102588654,83.98,1000,2168571280
0.911465172624588,84.34,1000,2168571280
0.9193943420886993,84.08,1000,2168571280
0.9291462167263032,83.84,1000,2168571280
0.9215482941150666,84.36,1000,2168571280
0.926333715057373,84.23,1000,2168571280
0.9269039485931396,84.09,999,2167492392
0.9317722609043121,84.09,1000,2168571280
0.9200958807468415,84.25,1000,2168571280
0.9295574986934662,84.16,1000,2168571280
0.9197816078662873,84.47,1000,2168571280
0.9227818919658661,84.04,1000,2168571280
0.9303589523792267,84.23,1000,2168571280
0.9216258548259735,84.4,1000,2168571280
0.9350573616027832,84.06,1000,2168571280
0.9439449437379837,84.19,1000,2168571280
0.9304848927497864,84.02,1000,2168571280
0.935885266160965,84.09,1000,2168571280
0.9297389187812806,84.21,1000,2168571280
0.9381154035568238,84.15,1000,2168571280
0.9585161443710327,83.66,1000,2168571280
0.9458013428688049,83.99,1000,2168571280
0.9501309571743012,83.87,1000,2168571280
0.9443998482227326,84.2,1000,2168571280
0.9457942010879516,83.94,1000,2168571280
0.9433695894241333,83.95,1000,2168571280
0.9572251910686493,84.0,1000,2168571280
0.9498701092720032,84.4,1000,2168571280
0.9487160954475403,84.17,1000,2168571280
0.9534399976730347,83.99,1000,2168571280
0.952051227235794,84.33,1000,2168571280
0.9494225159168244,84.16,1000,2168571280
0.9566733155727386,84.37,1000,2168571280
0.9646738397121429,84.17,1000,2168571280
0.9546662579536438,84.19,1000,2168571280
0.9892622670173645,83.56,1000,2168571280
0.9623313750743866,84.06,1000,2168571280
0.9757141908168793,83.8,1000,2168571280
0.9661516010284423,84.06,1000,2168571280
0.9618168411254883,84.19,1000,2168571280
0.9665480079174041,84.06,1000,2168571280
0.9642737533569335,84.33,1000,2168571280
0.9709430316925048,84.14,1000,2168571280
0.9680917551517486,84.34,1000,2168571280
0.9731704311847686,84.19,1000,2168571280
0.9711903164863587,84.02,1000,2168571280
0.9854889277935028,83.65,1000,2168571280
0.963497955751419,84.12,1000,2168571280
0.9711859464645386,83.92,1000,2168571280
0.9905588126182556,83.79,999,2167492392
0.9885536800384521,83.74,1000,2168571280
0.9947587087869644,84.0,1000,2168571280
1.0050046686649323,84.04,1000,2168571280
